epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,49396.2,0.79684,0.3509,0.86945,0.97989,0.94153,0.97173,0.8136,0.75273,0.29641,1.10395,0.000201611,0.000201611,0.000201611
73,49850,0.79272,0.34908,0.86948,0.97707,0.94369,0.97166,0.81396,0.7526,0.29652,1.10463,0.000189475,0.000189475,0.000189475
74,50303.8,0.78866,0.34754,0.86753,0.97708,0.94399,0.97204,0.81426,0.75288,0.29597,1.10504,0.000177651,0.000177651,0.000177651
75,50758.5,0.78533,0.34696,0.86682,0.97578,0.94565,0.97221,0.81468,0.75325,0.29545,1.10607,0.000166149,0.000166149,0.000166149
76,51212.1,0.78471,0.34652,0.86682,0.97568,0.94525,0.97187,0.81361,0.75349,0.2953,1.10686,0.000154982,0.000154982,0.000154982
77,51666.6,0.77937,0.34479,0.86524,0.98273,0.93941,0.9719,0.81362,0.75379,0.29513,1.10779,0.000144161,0.000144161,0.000144161
78,52121.1,0.77357,0.34178,0.86465,0.98202,0.94042,0.97194,0.81313,0.75372,0.29465,1.10848,0.000133695,0.000133695,0.000133695
79,52574.9,0.76927,0.34061,0.86368,0.97996,0.94122,0.97191,0.81333,0.75392,0.29425,1.10927,0.000123596,0.000123596,0.000123596
80,53045.2,0.76433,0.33831,0.86197,0.98277,0.938,0.97202,0.81354,0.75399,0.29467,1.10996,0.000113873,0.000113873,0.000113873
81,53567.8,0.76284,0.33798,0.86297,0.97763,0.94324,0.97197,0.81379,0.75401,0.29415,1.11094,0.000104537,0.000104537,0.000104537
82,54101.8,0.75916,0.33566,0.86245,0.978,0.94364,0.97215,0.81374,0.75397,0.29384,1.11168,9.55951e-05,9.55951e-05,9.55951e-05
83,54636.8,0.75718,0.33497,0.86065,0.97852,0.94364,0.972,0.81402,0.75406,0.29375,1.11249,8.70577e-05,8.70577e-05,8.70577e-05
84,55170.6,0.75116,0.33317,0.85849,0.98478,0.93788,0.97179,0.81347,0.75428,0.29376,1.11326,7.89327e-05,7.89327e-05,7.89327e-05
85,55706.3,0.74967,0.3317,0.8604,0.97926,0.94364,0.97169,0.81347,0.7542,0.2936,1.11354,7.12282e-05,7.12282e-05,7.12282e-05
86,56231.7,0.74948,0.33249,0.85844,0.97971,0.94404,0.97203,0.81351,0.75422,0.29384,1.11385,6.39518e-05,6.39518e-05,6.39518e-05
87,56767.6,0.7443,0.33038,0.85752,0.98002,0.94404,0.97202,0.81371,0.75394,0.29296,1.11398,5.71106e-05,5.71106e-05,5.71106e-05
88,57304.2,0.74469,0.32998,0.858,0.97962,0.94364,0.97184,0.81385,0.75367,0.29254,1.11419,5.07115e-05,5.07115e-05,5.07115e-05
89,57842.7,0.74649,0.33037,0.85789,0.98095,0.94324,0.9719,0.81379,0.75354,0.29183,1.11443,4.47606e-05,4.47606e-05,4.47606e-05
90,58378.3,0.74248,0.33003,0.8565,0.98156,0.94314,0.97193,0.81355,0.75357,0.29211,1.11495,3.9264e-05,3.9264e-05,3.9264e-05
91,58902.9,0.73805,0.31948,0.86052,0.98044,0.94324,0.97194,0.81313,0.75387,0.29186,1.1159,3.4227e-05,3.4227e-05,3.4227e-05
92,59432.6,0.72308,0.31345,0.85583,0.97915,0.94444,0.97192,0.81318,0.75405,0.29197,1.11673,2.96546e-05,2.96546e-05,2.96546e-05
93,59960.8,0.71693,0.3104,0.85516,0.97994,0.94417,0.9715,0.81317,0.75353,0.29232,1.11679,2.55513e-05,2.55513e-05,2.55513e-05
94,60488.9,0.71321,0.30941,0.8549,0.97992,0.94485,0.97149,0.81261,0.75381,0.29277,1.11761,2.19212e-05,2.19212e-05,2.19212e-05
95,61004.6,0.70814,0.30727,0.85272,0.97954,0.94462,0.97134,0.81236,0.75391,0.29308,1.11824,1.87678e-05,1.87678e-05,1.87678e-05
96,61532.6,0.7076,0.30733,0.85164,0.97954,0.94452,0.97126,0.81229,0.75422,0.29369,1.11886,1.60943e-05,1.60943e-05,1.60943e-05
97,62059.2,0.70549,0.30707,0.85217,0.97876,0.94592,0.97127,0.81199,0.75419,0.29357,1.11953,1.39032e-05,1.39032e-05,1.39032e-05
98,62585.7,0.70568,0.30656,0.85291,0.97828,0.94646,0.97161,0.812,0.75428,0.29386,1.12008,1.21968e-05,1.21968e-05,1.21968e-05
99,63112.9,0.704,0.30586,0.85306,0.97875,0.94571,0.97165,0.81202,0.75428,0.29347,1.12046,1.09768e-05,1.09768e-05,1.09768e-05
100,63630,0.70355,0.30582,0.85213,0.9787,0.94646,0.97188,0.81198,0.75427,0.294,1.12103,1.02443e-05,1.02443e-05,1.02443e-05
